wikidata_id,name,imdb_id
Q55435,Pupi Avati,nm0002194
Q55430,Zhang Yimou,nm0955443
Q55431,Wong Kar-wai,nm0939182
Q55408,Hrishikesh Mukherjee,nm0611531
Q55409,Mehboob Khan,nm0006371
Q234967,Kimberly Williams-Paisley,nm0931090
Q51492,Frank Capra,nm0001008
Q48987,Jonathan Demme,nm0001129
Q49034,Hedy Lamarr,nm0001443
Q34660,J. K. Rowling,nm0746830
Q50182,Ira Sachs,nm0755158
Q50713,Jean Renoir,nm0719756
Q4616,Marilyn Monroe,nm0000054
Q35464,Alaura Eden,nm1282936
Q36153,Beyoncé,nm0461498
Q55422,David Cronenberg,nm0000343
Q55426,Glauber Rocha,nm0733790
Q51114,John Ford,nm0000406
Q51489,M. Night Shyamalan,nm0796117
Q236479,Alice Maud Krige,nm0000481
Q35332,Brad Pitt,nm0000093
Q235694,Candace Cameron Bure,nm0121026
Q235845,Marcheline Bertrand,nm0078395
Q36949,Robert De Niro,nm0000134
Q55411,Wim Wenders,nm0000694
Q55412,F. W. Murnau,nm0003638
Q235555,Nancy Meyers,nm0583600
Q235284,Catherine Oxenberg,nm0005289
Q235328,Alison Brie,nm1555340
Q4488,Clancy Brown,nm0000317
Q4538,Jonathan Winters,nm0005565
Q35358,Richard Norton,nm0636280
Q2685,Arnold Schwarzenegger,nm0000216
Q51495,William Wyler,nm0943758
Q49016,Robert Rodat,nm0734441
Q49017,Hugh Laurie,nm0491402
Q4573,Sean Connery,nm0000125
Q4914,Jimmy Kimmel,nm0453994
Q55400,Hayao Miyazaki,nm0594503
Q237454,Marta Kauffman,nm0442035
Q51133,King Vidor,nm0896542
Q51461,Sam Peckinpah,nm0001603
Q4465,Peter Jackson,nm0001392
Q4119,Adam Carolla,nm0004805
Q235891,Renee O'Connor,nm0640488
Q235918,Mabel Normand,nm0635667
Q51123,D. W. Griffith,nm0000428
Q5603,Andy Warhol,nm0912238
Q36767,Robert Pattinson,nm1500155
Q51476,Tod Browning,nm0115218
Q51488,John Cassavetes,nm0001023
Q4960,Jason Lee,nm0005134
Q237226,Barbara Broccoli,nm0110483
Q237268,Paul Cox,nm0185187
Q51511,George A. Romero,nm0001681
Q237420,Donna Leon,nm0502468
Q55690,Pralhad Keshav Atre,nm0040899
Q55796,Peter Ustinov,nm0001811
Q236148,Susanne Bier,nm0081540
Q236253,Kate Jackson,nm0000462
Q56219,Rocco Siffredi,nm0797382
