wikidata_id,name,imdb_id
Q487671,Anatoli Golovnya,nm0326670
Q488925,Tak Fujimoto,nm0005714
Q489174,Alex Thomson,nm0004287
Q373115,Winton Hoch,nm0005743
Q374091,Phil Rosen,nm0005847
Q374229,Roy E. Disney,nm0004877
Q361308,Matthew F. Leonetti,nm0005772
Q362210,William C. Mellor,nm0005794
Q363413,Vittorio Storaro,nm0005886
Q383764,Paul Morrissey,nm0607407
Q384784,Robby Müller,nm0005810
Q179657,Dante Spinotti,nm0005883
Q40645,Ludwig Berger,nm0003490
Q43264,Manoel de Oliveira,nm0210701
Q99128,Albert Benitz,nm0071260
Q99376,Willy Hameister,nm0005736
Q99516,Karl Puth,nm0701174
Q99662,Lothar Lambert,nm0483234
Q38222,George Lucas,nm0000184
Q247675,Giuseppe Ruzzolini,nm0005854
Q247738,György Illés,nm0407859
Q248764,Martin Wood,nm0939869
Q514728,Bojan Bazelli,nm0005648
Q515077,Andrzej Kondratiuk,nm0464951
Q515331,Andrzej Munk,nm0612914
Q501712,Andrey Zhegalov,nm0790832
Q502329,Andrei Moskvin,nm0608804
Q503952,Mario Brenta,nm0107610
Q504191,W. Howard Greene,nm0338946
Q364116,Adolf Schlasy,nm0772113
Q365230,Janusz Kamiński,nm0001405
Q45221,Herbert Achternbusch,nm0002157
Q25191,Christopher Nolan,nm0634240
Q367614,Ray Rennahan,nm0005840
Q367813,John Bailey,nm0007037
Q109714,Dietrich Lohmann,nm0005777
Q110133,Carsten Diercks,nm5696587
Q110387,Jürgen Jürges,nm0005751
Q110464,Wilfried Basse,nm0060155
Q111861,Georg Krause,nm0470201
Q224998,János Zsombolyai,nm0958183
Q225852,D. A. Pennebaker,nm0672060
Q239823,Chantal Akerman,nm0001901
Q368085,Andrew Dunn,nm0242491
Q369059,William H. Clothier,nm0005670
Q372654,Adrian Biddle,nm0000939
Q497075,Russell Carpenter,nm0005665
Q498242,Andreas Höfer,nm0405813
Q498696,László Kovács,nm0004088
Q514003,Hoyte van Hoytema,nm0887227
Q514432,John Coquillon,nm0178979
Q103723,Max Fassbender,nm0268732
Q103917,Steven Soderbergh,nm0001752
Q508873,Fred Jackman,nm0413164
Q509671,Burnett Guffey,nm0346532
Q512103,Cary Joji Fukunaga,nm1560977
Q213821,Eugen Schüfftan,nm0005867
Q218022,Alain Resnais,nm0720297
Q104438,Heiner Stadler,nm0821151
Q504444,Joseph H. August,nm0005641
Q504461,Andrew Davis,nm0001112
Q505035,Arthur E. Arling,nm0035186
Q260963,Russell Boyd,nm0006570
Q261358,Mihály Ráday,nm0753568
Q183347,Lloyd Kaufman,nm0442207
Q187261,Zeki Demirkubuz,nm0218547
Q195069,Frank Barbian,nm0053589
Q197464,Zhao Xiaoding,nm1618536
Q180029,Peter Pau,nm0666702
Q49020,Caleb Deschanel,nm0221042
Q105631,Henner Winckler,nm0934629
Q107030,Harald Beckmann,nm1732810
Q107572,Edgar Ziesemer,nm0956302
Q107574,Martin Ruhe,nm0749508
Q107861,Emil Schünemann,nm0778303
Q381539,Mano Khalil,nm1314800
Q382393,Louis Garrel,nm0308039
Q382945,Affonso Beato,nm0005649
Q112013,Bruno Timm,nm0863623
Q112182,Ulrich Seidl,nm0782430
Q112642,Thomas Behrend,nm2563756
Q112767,Elio Carniel,nm0138867
Q202836,Stephen F. Windon,nm0934752
Q209084,Arthur Edeson,nm0249186
Q210762,Andrew Rossi,nm1427149
Q357333,Stelvio Massi,nm0005787
Q357624,Alexandr Hackenschmied,nm0352413
Q361290,John R. Leonetti,nm0502954
Q109022,Christian Baumeister,nm2396165
Q109355,Uta Briesewitz,nm0003802
Q109413,Harry Fischbeck,nm0278792
Q109546,Kurt Schulz,nm0776492
Q250396,Mihai Mălaimare,nm1893246
Q253250,Irving Glassberg,nm0322023
Q256666,Sean Stone,nm0832165
Q505629,Clyde De Vinna,nm0005682
Q505840,Andrew Laszlo,nm0489970
Q505940,Andrew Lesnie,nm0504226
Q53052,Stefano Vanzina,nm0826642
Q55193,Dziga Vertov,nm0895048
Q45857,Willy Kurant,nm0005763
Q45928,Maryse Alberti,nm0016662
Q387323,Raoul Coutard,nm0184170
Q390780,Alex Nepomniaschy,nm0626124
Q390981,Harald Paalgard,nm0654953
Q395096,Agnès Godard,nm0323707
Q517553,André Böhm,nm0127023
Q518140,Desmond Dickinson,nm0225512
Q519902,Mateo Gil,nm0317834
Q375247,Fuat Uzkınay,nm1012387
Q376107,Jan de Bont,nm0000957
Q263309,Floria Sigismondi,nm0797455
Q265848,Edward Cronjager,nm0005676
Q266521,James Wong Howe,nm0002146
Q46139,Man Ray,nm0712915
Q524370,Joyce Wieland,nm0927407
Q524897,Seth Gordon,nm1164861
Q525385,Andy Bierschenk,nm1135358
Q260125,John G. Avildsen,nm0000814
Q211228,Ruben Östlund,nm1128037
Q212167,Atom Egoyan,nm0000382
Q112804,Karl Kurzmayer,nm0476164
Q112819,Gernot Roll,nm0005846
Q113581,Thomas Neuwirth,nm2535973
Q44426,Rainer Werner Fassbinder,nm0001202
Q402295,Victor J. Kemper,nm0005755
Q402812,Mikhail Vartanov,nm1033410
Q404522,Jens Fischer,nm0278980
Q116760,Vilgot Sjöman,nm0803672
Q117071,Laurent Cantet,nm0134559
Q118508,Werner Brandes,nm0104634
Q242849,Helen Levitt,nm1844803
Q242889,Toni Basil,nm0059844
Q113848,Paul Holzki,nm0392826
Q114063,Ermanno Olmi,nm0647438
Q115432,Heinz Pehlke,nm0670454
Q116054,Pipilotti Rist,nm0728409
Q116308,Renato Berta,nm0005655
Q515568,Andrzej Sekuła,nm0782900
Q515579,Jörgen Persson,nm0675608
Q516683,Faith Hubley,nm0254454
Q516836,André Bac,nm0045168
Q48987,Jonathan Demme,nm0001129
Q512419,Samuel Bayer,nm1207904
Q512453,James Van Trees,nm0005913
Q512673,Caroline Champetier,nm0005667
Q513098,Frank Sullivan,nm0838068
Q103951,Eugen Klagemann,nm0458170
Q103973,Roland Gräf,nm0344875
Q47284,Robert Rodriguez,nm0001675
Q119347,Lukas Ettlin,nm0262210
Q120332,Erich Langjahr,nm0486463
Q120386,Clemens Klopfenstein,nm0460007
Q120441,Niklaus Schilling,nm0771705
Q55282,Peter Greenaway,nm0000425
Q55392,Louis Malle,nm0001501
Q385158,Elliot Davis,nm0204567
Q386394,Géza von Radványi,nm0902839
Q387074,Jean Mitry,nm0504732
Q387074,Jean Mitry,nm0594027
Q55210,Abbas Kiarostami,nm0452102
Q55405,Bimal Roy,nm0746950
Q55438,Mario Bava,nm0000878
Q536309,Ella Bergmann-Michel,nm2295944
Q539136,Denis Lenoir,nm0003631
Q540947,Otis Barton,nm1039385
Q542267,Ray J,nm0005043
Q62547,Michael Ballhaus,nm0000841
Q414574,Bill Butler,nm0124832
Q418937,Akira Shiizuka,nm0793409
Q420568,Akos Farkas,nm0267545
Q421675,Louis Le Prince,nm1284117
Q114570,Xaver Schwarzenberger,nm0005866
Q114896,Nikolas Vogel,nm0900942
Q523689,Andréas Winding,nm0934711
Q523976,Byron Kennedy,nm0447945
Q524041,Philip Øgaard,nm0960270
Q524278,Jay Roach,nm0005366
Q376641,J. Michael Muro,nm0614013
Q377126,Ricou Browning,nm0115202
Q377151,Adrien Porchet,nm0691691
Q381227,Gjon Mili,nm0587388
Q439911,Ellen Kuras,nm0475578
Q441578,Penelope Spheeris,nm0790715
Q441964,Massimo Dallamano,nm0198014
Q433979,Philippe Garrel,nm0308042
Q435814,Franny Armstrong,nm1671943
Q436584,Jack Hildyard,nm0005742
Q120858,Franz Reichle,nm0717095
Q121175,Richard Angst,nm0029940
Q275381,Filoteo Alberini,nm1135106
Q276175,Vivian Kubrick,nm0473588
Q278759,Boris Kaufman,nm0442100
Q271630,Alisa Freindlich,nm0293981
Q275011,Émile Cohl,nm0169871
Q282787,Derek Jarman,nm0418746
Q287778,Bruce Surtees,nm0839732
Q288187,Éric Gautier,nm0310341
Q579550,Peter Biziou,nm0084695
Q580810,Thierry Arbogast,nm0005636
Q108222,Donata Wenders,nm0772900
Q108261,Florian Ballhaus,nm0050832
Q108420,Ulrich Köhler,nm0477823
Q108482,Werner Krien,nm0471249
Q57231,Tom Tykwer,nm0878756
Q60745,Holger Meins,nm0576941
Q61654,Max Skladanowsky,nm0804434
Q528068,Antonio Climati,nm0166789
Q51490,George Stevens,nm0828419
Q51541,Nicolas Roeg,nm0001676
Q55211,Mohsen Makhmalbaf,nm0538532
Q55249,Ken Russell,nm0001692
Q289217,Étienne-Jules Marey,nm4620889
Q289374,Étienne Becker,nm0065616
Q293519,Óskar Gíslason,nm2097725
Q295093,Claude Lelouch,nm0500988
Q544869,Léonce-Henri Burel,nm0005662
Q544901,Charles Bitsch,nm0084492
Q549956,Alexandre Rockwell,nm0734319
Q278994,Adolf Otto Weitzenberg,nm0919376
Q279100,Robert Elswit,nm0005696
Q279203,A. W. Sandberg,nm0761244
Q280285,Steff Gruber,nm0344299
Q62323,Werner Schroeter,nm0775573
Q62503,Victor Fleming,nm0281808
Q535692,Michael Reed,nm0715586
Q835122,Gyula Bornyi,nm0097154
Q851569,Sándor Buglya,nm0119516
Q853230,Ramachandra Babu,nm0045084
Q854168,David Tattersall,nm0005897
Q854215,Jack N. Green,nm0005726
Q453839,Paul Strand,nm0833271
Q455482,Wash Westmoreland,nm0922903
Q555180,Benh Zeitlin,nm1022455
Q556317,Lucien Andriot,nm0005635
Q556573,Glen MacPherson,nm0534215
Q269796,Walter Lang,nm0485943
Q271247,Naomi Kawase,nm0442905
Q447931,Alun Bollinger,nm0093151
Q448362,John Derek,nm0001135
Q543004,Nicholas Musuraca,nm0002228
Q543733,Roel Reiné,nm0004152
Q854244,Balázs Bélafalvy,nm0067500
Q854797,Miklós Bíró,nm0126948
Q865243,Birgit Hein,nm0374273
Q879436,Björn Richie Lob,nm2354636
Q879830,Bjørn Melhus,nm1626381
Q888475,Bobby Bukowski,nm0119785
Q62028,Walter Frentz,nm0294286
Q62099,Karl Freund,nm0005713
Q316602,Bryan Greenberg,nm1034965
Q316756,Jay Baruchel,nm0059431
Q560108,Gordon Willis,nm0932336
Q561686,François Sagat,nm2088684
Q562434,Jon Jost,nm0430927
Q607280,Harry Stradling,nm0005889
Q608904,Kim Hiorthøy,nm0386117
Q612638,Andrzej Ancuta,nm0025864
Q613921,Noam Gonick,nm0327329
Q288424,Éric Valli,nm0885108
Q288815,Debra Granik,nm0335138
Q289123,Benoît Delhomme,nm0217120
Q551828,Robert Yeoman,nm0005934
Q551945,Mario Barroso,nm0057825
Q552985,Toyomichi Kurita,nm0475746
Q554303,Paul Cameron,nm0131700
Q425713,Gilbert Warrenton,nm0913084
Q427290,Henning Camre,nm0133397
Q428260,Pierre Mignot,nm0005798
Q431611,Ernest Haller,nm0005735
Q907264,György Dobray,nm0229741
Q913128,Brian Taylor,nm0962729
Q914315,Jean Bourgoin,nm0099961
Q436704,Jack Cardiff,nm0002153
Q437509,Maude Adams,nm5155958
Q437616,Bill Viola,nm0899169
Q313497,Danis Tanović,nm0849786
Q314926,John Waters,nm0000691
Q450504,Theodor Luts,nm0527490
Q452471,Georges Périnal,nm0005838
Q452731,Tony Pierce-Roberts,nm0682503
Q453691,Quentin Dupieux,nm1189197
