wikidata_id,name,imdb_id
Q53046,Carlo Verdone,nm0893872
Q44414,Trey Parker,nm0005295
Q44426,Rainer Werner Fassbinder,nm0001202
Q55452,Vittorio Gassman,nm0002094
Q53412,Andres Veiel,nm0892000
Q53680,Jeff Daniels,nm0001099
Q2831,Michael Jackson,nm0001391
Q55458,Mario Mattoli,nm0560395
Q55460,Ferzan Özpetek,nm0654858
Q44515,Claude Pinoteau,nm0684509
Q28702,Jacques Bousquet,nm0100222
Q29328,Brie Larson,nm0488953
Q43754,Willy Bogner,nm0091854
Q43874,Eddie Murphy,nm0000552
Q55168,Thodoros Angelopoulos,nm0000766
Q55453,Augusto Genina,nm0312866
Q55454,Ugo Gregoretti,nm0339683
Q55456,Nino Manfredi,nm0542063
Q55190,Sergei Bondarchuk,nm0094083
Q28755,Matthew Broderick,nm0000111
Q28853,Audrius Stonys,nm0832336
Q31923,Bahman Ghobadi,nm0315842
Q32049,Jang Keun-suk,nm1658941
Q31225,Mark Robson,nm0733476
Q31293,Vondie Curtis-Hall,nm0193554
Q55444,Damiano Damiani,nm0198765
Q55447,Vittorio De Seta,nm0211548
Q55450,Aldo Fabrizi,nm0264762
Q43896,Hans Conrad Fischer,nm0278933
Q44107,Peter Handke,nm0359563
Q29621,J. Neil Schulman,nm0776090
Q30876,Yash Chopra,nm0007181
Q55796,Peter Ustinov,nm0001811
Q44131,Werner Herzog,nm0001348
Q44221,Sean Penn,nm0000576
Q55193,Dziga Vertov,nm0895048
Q55195,Vsevolod Pudovkin,nm0699877
Q4500,Vince Gilligan,nm0319213
Q4636,Barbra Streisand,nm0000659
Q2737,Louis de Funès,nm0000086
Q55171,Pedro Almodóvar,nm0000264
Q55172,Alexander Sokurov,nm0812546
Q44410,Matt Stone,nm0001778
Q56005,Ridley Scott,nm0000631
Q56008,Tim Burton,nm0000318
Q55462,Antonio Pietrangeli,nm0682881
Q55465,Gabriele Salvatores,nm0759368
Q55468,Ugo Tognazzi,nm0865575
Q55473,Luigi Zampa,nm0952737
Q55690,Pralhad Keshav Atre,nm0040899
Q4119,Adam Carolla,nm0004805
Q31812,Flavio Sciolè,nm2080770
Q31820,Bill D'Elia,nm0002704
Q31549,Sean Paul Lockhart,nm1851320
Q31637,Jafar Panahi,nm0070159
Q28497,Marc Forster,nm0286975
Q28556,Michel Hazanavicius,nm0371890
Q3772,Quentin Tarantino,nm0000233
Q4109,Chris Rock,nm0001674
Q44529,Leonardo Favio,nm0269420
Q44707,Fred Durst,nm0004890
Q45292,"Michael ""Bully"" Herbig",nm0378660
Q45306,Lucile Hadžihalilović,nm0352968
Q45509,Jo Baier,nm0047047
Q3671,Justin Chadwick,nm0149491
Q31481,Pierre Barouh,nm0056435
Q45070,Christoph Schlingensief,nm0772381
Q45221,Herbert Achternbusch,nm0002157
Q31409,Jason Antoon,nm0031529
Q55234,Michael Powell,nm0003836
Q55238,Ken Loach,nm0516360
Q5577,Salvador Dalí,nm0198557
Q56014,George Cukor,nm0002030
Q56093,Blake Edwards,nm0001175
Q4293,Jon Abrahams,nm0009016
Q4440,Eric Bana,nm0051509
Q45527,Bruno Jonas,nm0427300
Q45542,Helmut Fischer,nm0278947
Q45563,James Roday Rodriguez,nm0734442
Q55169,Krzysztof Zanussi,nm0953130
Q55170,Victor Sjöström,nm0803705
Q56219,Rocco Siffredi,nm0797382
Q57061,David Auburn,nm1430632
Q55211,Mohsen Makhmalbaf,nm0538532
Q32787,Miroslav Krobot,nm1716909
Q55215,Alejandro González Iñárritu,nm0327944
Q55218,István Szabó,nm0843640
Q46139,Man Ray,nm0712915
Q46392,Amjad Khan,nm0451166
Q6060,50 Cent,nm1265067
Q55198,Alexander Dovzhenko,nm0235590
Q55199,Lev Kuleshov,nm0474487
Q34012,Marlon Brando,nm0000008
Q57426,Heiner Müller,nm0618179
Q57584,Curd Jürgens,nm0432007
Q55221,Alexander Korda,nm0466099
Q55230,Emeric Pressburger,nm0696247
Q4673,Paul Otto,nm0653288
Q4465,Peter Jackson,nm0001392
Q32335,Nia Vardalos,nm0889522
Q32522,Jennifer Aniston,nm0000098
Q45909,John Cale,nm0129816
Q57231,Tom Tykwer,nm0878756
Q57316,Volker Schlöndorff,nm0772522
Q55260,David Lean,nm0000180
Q55264,Charles Laughton,nm0001452
Q55207,Nikita Mikhalkov,nm0586482
Q57372,Joachim Fest,nm0275264
Q57391,Til Schweiger,nm0001709
Q57932,Florian Henckel von Donnersmarck,nm0003697
Q58592,Daniel Brühl,nm0117709
Q47100,Ben Stiller,nm0001774
Q56094,Francis Ford Coppola,nm0000338
Q34436,Scarlett Johansson,nm0424060
Q55245,Laurence Olivier,nm0000059
Q48410,Richard Gere,nm0000152
Q58603,Moritz Bleibtreu,nm0001953
Q58801,Conrad Veidt,nm0891998
Q48765,Stanley Donen,nm0002045
Q35709,Avy Scott,nm1764297
Q36153,Beyoncé,nm0461498
Q5603,Andy Warhol,nm0912238
Q32923,Rituparno Ghosh,nm0315916
Q33171,Baraguru Ramachandrappa,nm1142495
Q33635,Hema Malini,nm0004564
Q7374,Alfred Hitchcock,nm0000033
Q55365,Cezary Pazura,nm0668640
Q55366,Bogusław Linda,nm0511277
Q58866,Thea von Harbou,nm0902376
Q58912,Courteney Cox,nm0001073
Q55277,John Boorman,nm0000958
Q5912,Marcel Duchamp,nm0239781
Q45889,Antara Mali,nm0539507
Q7122,Michel Audiard,nm0002192
Q55208,Andrei Konchalovsky,nm0464846
Q55210,Abbas Kiarostami,nm0452102
Q47284,Robert Rodriguez,nm0001675
Q57592,Magnus Hirschfeld,nm0386589
Q7542,Prince,nm0002239
Q55282,Peter Greenaway,nm0000425
Q55294,Kenneth Branagh,nm0000110
Q45239,Franz Xaver Kroetz,nm0471890
Q45253,Shinji Sōmai,nm0814570
Q45255,Karl Valentin,nm0884171
Q59210,Mario Soldati,nm0812827
Q49080,Isaak Babel,nm0044871
Q49484,Konstantin Stanislavski,nm2507427
Q48987,Jonathan Demme,nm0001129
Q49017,Hugh Laurie,nm0491402
Q55249,Ken Russell,nm0001692
Q55258,Stephen Frears,nm0001241
Q6078,Dr. Dre,nm0236564
Q55303,John Schlesinger,nm0772259
Q59259,Michael Bay,nm0000881
Q36980,George Peppard,nm0000577
Q37001,Toshirō Mifune,nm0001536
Q59204,Alberto Lattuada,nm0490444
Q59206,Artur Balder,nm3470412
Q59129,Michael Cimino,nm0001047
Q59149,Claudia Llosa,nm2013191
Q60341,Sean Anders,nm1890845
Q60525,Veit Harlan,nm0363235
Q59085,Robert Benton,nm0000914
Q47496,Marina Abramović,nm0009127
Q48337,Morgan Freeman,nm0000151
Q59485,Otto Waalkes,nm0905102
Q59675,José María Sánchez-Silva,nm0844784
Q59821,Robert Wise,nm0936404
Q49020,Caleb Deschanel,nm0221042
Q51123,D. W. Griffith,nm0000428
Q50713,Jean Renoir,nm0719756
Q50764,Éric Rohmer,nm0006445
Q7241,Rabindranath Tagore,nm0007173
Q60669,Wolfgang Becker,nm0065615
Q60745,Holger Meins,nm0576941
Q60766,Dennis Gansel,nm0304541
Q8006,Akira Kurosawa,nm0000041
Q36441,Aurora Snow,nm0811239
Q36949,Robert De Niro,nm0000134
Q8651,Douglas Shearer,nm0790428
Q8704,Walt Disney,nm0000370
Q55384,Henri-Georges Clouzot,nm0167241
Q55392,Louis Malle,nm0001501
Q55369,Jerzy Stuhr,nm0836136
Q55375,Claude Chabrol,nm0001031
Q55394,Henri Verneuil,nm0894577
Q55395,Jean Vigo,nm0897118
Q55380,Jan Englert,nm0257563
Q55381,Jacques Becker,nm0065442
Q49492,Michael Chekhov,nm0155011
Q7546,Ingmar Bergman,nm0000005
Q59215,Robert Redford,nm0000602
Q7371,Federico Fellini,nm0000019
Q55388,René Clair,nm0163229
Q55391,Robert Bresson,nm0000975
Q49941,Ilona Staller,nm0580499
Q50003,Alberto Sordi,nm0814773
Q60905,Kurt Gerron,nm0314777
Q60978,Erwin Piscator,nm0685442
Q60858,Douglas Sirk,nm0802862
Q60876,Heinz Rühmann,nm0004464
Q50036,Akiyuki Shinbo,nm0793840
Q50182,Ira Sachs,nm0755158
Q60634,Oliver Hirschbiegel,nm0386570
Q60637,Alexander Kluge,nm0460176
Q51114,John Ford,nm0000406
Q34816,Kathryn Bigelow,nm0000941
Q35332,Brad Pitt,nm0000093
Q37175,Johnny Depp,nm0000136
Q8296,Rupert Wyatt,nm1012501
Q8301,Stefen Fangmeier,nm0266777
Q51127,Carl Theodor Dreyer,nm0003433
Q59972,Ladislao Vajda,nm0883334
Q60100,Roland Emmerich,nm0000386
Q38757,Bertolt Brecht,nm0106517
Q8003,Sergei Eisenstein,nm0001178
Q36970,Jackie Chan,nm0000329
Q51466,Budd Boetticher,nm0091430
Q51472,Rouben Mamoulian,nm0541149
Q36233,Václav Havel,nm0369730
Q49760,Peter Brook,nm0111656
Q49847,Ray William Johnson,nm3721841
Q55393,Jacques Tourneur,nm0869664
Q61441,Erich Pommer,nm0690143
Q61608,Horst Tappert,nm0850096
Q270730,Casey Affleck,nm0000729
Q38222,George Lucas,nm0000184
